lsoa_code,borough,major_category,minor_category,value,year,month
E01032790,Hammersmith and Fulham,Violence Against the Person,Wounding/GBH,0,2009,8
E01001011,Croydon,Violence Against the Person,Assault with Injury,2,2016,10
E01002187,Harrow,Theft and Handling,Theft From Motor Vehicle,0,2009,9
E01002110,Harrow,Burglary,Burglary in a Dwelling,0,2014,11
E01000681,Bromley,Violence Against the Person,Wounding/GBH,0,2011,4
E01002834,Kensington and Chelsea,Violence Against the Person,Assault with Injury,1,2015,12
E01001637,Greenwich,Theft and Handling,Theft From Shops,1,2008,3
E01000092,Barking and Dagenham,Burglary,Burglary in Other Buildings,7,2015,3
E01004149,Sutton,Theft and Handling,Theft From Motor Vehicle,0,2008,8
E01000329,Bexley,Burglary,Burglary in Other Buildings,0,2008,5
E01003673,Redbridge,Violence Against the Person,Wounding/GBH,0,2010,11
E01002062,Haringey,Fraud or Forgery,Counted per Victim,0,2008,6
E01004413,Waltham Forest,Theft and Handling,Handling Stolen Goods,0,2016,6
E01003565,Newham,Robbery,Personal Property,0,2012,2
E01004102,Sutton,Drugs,Drug Trafficking,0,2011,1
E01002345,Havering,Theft and Handling,Theft/Taking of Pedal Cycle,0,2016,4
E01001664,Greenwich,Violence Against the Person,Common Assault,0,2009,1
E01000056,Barking and Dagenham,Criminal Damage,Other Criminal Damage,0,2010,5
E01001608,Greenwich,Criminal Damage,Criminal Damage To Dwelling,0,2010,4
E01003447,Merton,Fraud or Forgery,Other Fraud & Forgery,0,2010,8
E01004037,Southwark,Drugs,Drug Trafficking,0,2015,4
E01003939,Southwark,Other Notifiable Offences,Other Notifiable,2,2009,2
E01004000,Southwark,Criminal Damage,Other Criminal Damage,1,2008,7
E01000088,Barking and Dagenham,Criminal Damage,Criminal Damage To Motor Vehicle,1,2011,9
E01003532,Newham,Criminal Damage,Criminal Damage To Other Building,0,2016,3
E01000001,City of London,Burglary,Burglary in Other Buildings,0,2012,7
E01000804,Bromley,Theft and Handling,Motor Vehicle Interference & Tampering,0,2008,12
E01002303,Havering,Theft and Handling,Other Theft Person,0,2013,9
E01001558,Enfield,Fraud or Forgery,Other Fraud & Forgery,0,2008,4
E01003172,Lambeth,Theft and Handling,Other Theft Person,0,2015,10
E01000255,Barnet,Theft and Handling,Motor Vehicle Interference & Tampering,0,2010,9
E01033597,Westminster,Criminal Damage,Criminal Damage To Other Building,0,2011,12
E01003396,Merton,Violence Against the Person,Offensive Weapon,0,2009,4
E01004202,Tower Hamlets,Burglary,Burglary in a Dwelling,2,2009,10
E01000881,Camden,Drugs,Drug Trafficking,0,2012,5
E01004617,Wandsworth,Theft and Handling,Other Theft,7,2016,4
E01001998,Haringey,Theft and Handling,Theft/Taking Of Motor Vehicle,1,2011,3
E01003348,Lewisham,Burglary,Burglary in Other Buildings,3,2012,9
E01001418,Enfield,Criminal Damage,Criminal Damage To Other Building,0,2011,9
E01000528,Brent,Theft and Handling,Other Theft,1,2015,8
E01003017,Lambeth,Drugs,Drug Trafficking,0,2009,2
E01003355,Merton,Drugs,Possession Of Drugs,1,2010,3
E01002333,Havering,Theft and Handling,Theft/Taking of Pedal Cycle,0,2014,11
E01001083,Croydon,Violence Against the Person,Other violence,0,2012,3
E01001465,Enfield,Theft and Handling,Theft/Taking Of Motor Vehicle,1,2016,7
E01004623,Wandsworth,Theft and Handling,Other Theft,0,2008,11
E01004593,Wandsworth,Criminal Damage,Criminal Damage To Dwelling,0,2012,4
E01000482,Brent,Violence Against the Person,Wounding/GBH,0,2012,10
E01003508,Newham,Violence Against the Person,Other violence,0,2008,9
E01001361,Ealing,Violence Against the Person,Assault with Injury,5,2009,11
E01004037,Southwark,Violence Against the Person,Wounding/GBH,0,2008,6
E01003656,Redbridge,Theft and Handling,Theft/Taking of Pedal Cycle,0,2015,7
E01003320,Lewisham,Theft and Handling,Theft/Taking of Pedal Cycle,0,2010,4
E01004080,Sutton,Theft and Handling,Theft/Taking of Pedal Cycle,0,2015,12
E01000491,Brent,Drugs,Drug Trafficking,0,2012,8
E01001664,Greenwich,Violence Against the Person,Offensive Weapon,0,2013,3
E01003298,Lewisham,Other Notifiable Offences,Other Notifiable,0,2016,8
E01004437,Waltham Forest,Violence Against the Person,Common Assault,0,2009,5
E01002449,Hillingdon,Theft and Handling,Handling Stolen Goods,0,2013,2
E01002228,Harrow,Theft and Handling,Theft From Motor Vehicle,2,2014,3
E01000521,Brent,Burglary,Burglary in Other Buildings,0,2016,11
E01033133,Wandsworth,Theft and Handling,Other Theft Person,1,2012,5
E01001846,Hackney,Other Notifiable Offences,Other Notifiable,0,2011,8
E01003441,Merton,Theft and Handling,Theft From Shops,0,2008,11
E01004241,Tower Hamlets,Criminal Damage,Criminal Damage To Other Building,0,2012,11
E01002883,Kensington and Chelsea,Burglary,Burglary in Other Buildings,1,2011,10
E01004395,Waltham Forest,Criminal Damage,Criminal Damage To Motor Vehicle,0,2013,12
E01000568,Brent,Drugs,Possession Of Drugs,2,2012,7
E01003918,Southwark,Violence Against the Person,Common Assault,0,2010,5
E01004316,Tower Hamlets,Robbery,Business Property,0,2008,11
E01001611,Greenwich,Theft and Handling,Other Theft,1,2015,11
E01000671,Bromley,Drugs,Other Drugs,0,2012,6
E01002867,Kensington and Chelsea,Drugs,Other Drugs,0,2008,3
E01004232,Tower Hamlets,Theft and Handling,Motor Vehicle Interference & Tampering,0,2009,4
E01000494,Brent,Theft and Handling,Other Theft Person,0,2008,2
E01004052,Southwark,Theft and Handling,Theft From Motor Vehicle,0,2014,12
E01001896,Hammersmith and Fulham,Criminal Damage,Criminal Damage To Other Building,0,2010,7
E01003656,Redbridge,Criminal Damage,Criminal Damage To Dwelling,0,2014,8
E01001501,Enfield,Drugs,Other Drugs,0,2009,12
E01002825,Kensington and Chelsea,Theft and Handling,Theft From Motor Vehicle,0,2011,9
E01002878,Kensington and Chelsea,Drugs,Possession Of Drugs,1,2010,3
E01000977,Croydon,Violence Against the Person,Harassment,0,2010,7
E01003138,Lambeth,Robbery,Personal Property,0,2012,11
E01004171,Sutton,Theft and Handling,Theft/Taking of Pedal Cycle,0,2011,4
E01003672,Redbridge,Violence Against the Person,Common Assault,0,2013,2
E01001518,Enfield,Theft and Handling,Handling Stolen Goods,0,2008,10
E01003524,Newham,Robbery,Business Property,0,2010,11
E01002585,Hounslow,Criminal Damage,Criminal Damage To Other Building,0,2008,3
E01004129,Sutton,Theft and Handling,Handling Stolen Goods,0,2016,5
E01003885,Richmond upon Thames,Robbery,Personal Property,1,2013,8
E01033100,Wandsworth,Criminal Damage,Criminal Damage To Other Building,1,2014,11
E01000548,Brent,Theft and Handling,Theft/Taking of Pedal Cycle,0,2009,2
E01004358,Waltham Forest,Drugs,Drug Trafficking,0,2013,4
E01001560,Enfield,Drugs,Drug Trafficking,0,2013,2
E01003814,Richmond upon Thames,Violence Against the Person,Wounding/GBH,0,2015,1
E01000094,Barking and Dagenham,Drugs,Drug Trafficking,0,2012,10
E01004439,Waltham Forest,Drugs,Drug Trafficking,0,2013,10
E01002327,Havering,Burglary,Burglary in a Dwelling,1,2013,6
E01004010,Southwark,Theft and Handling,Other Theft,2,2009,10
E01004366,Waltham Forest,Violence Against the Person,Other violence,0,2013,12
E01004631,Wandsworth,Violence Against the Person,Other violence,0,2014,6
E01000713,Bromley,Burglary,Burglary in a Dwelling,0,2012,11
E01000650,Bromley,Theft and Handling,Theft From Motor Vehicle,0,2013,11
E01000654,Bromley,Theft and Handling,Theft/Taking of Pedal Cycle,0,2008,6
E01001862,Hammersmith and Fulham,Theft and Handling,Handling Stolen Goods,0,2015,4
E01002444,Hillingdon,Other Notifiable Offences,Going Equipped,0,2010,10
E01003861,Richmond upon Thames,Violence Against the Person,Other violence,0,2009,12
E01002001,Haringey,Robbery,Personal Property,0,2016,3
E01000046,Barking and Dagenham,Robbery,Business Property,0,2009,12
E01004000,Southwark,Violence Against the Person,Wounding/GBH,0,2015,2
E01032574,Enfield,Violence Against the Person,Common Assault,3,2012,7
E01002352,Havering,Drugs,Possession Of Drugs,0,2012,2
E01001617,Greenwich,Criminal Damage,Criminal Damage To Dwelling,0,2009,8
